	Unnamed: 0	sample_id	prompt_source	prompt_target	position_source	position_target	baseline_hop2	baseline_hop3	baseline_multihop3	hop1	hop2	hop3	layer_source	layer_target	generations_patched	is_correct_patched	hidden_rep
0	17494	2092939	Pizza's country of origin	The language used in {}	-1	-1	Pizza's country of origin	The language used in Italy	The language used in Pizza's country of origin	Pizza	Italy	Italian	6	2	['of' 'the' 'text' 'is' 'not' 'specified' '.' '\n' '\n' 'The']	False	[-0.04602  0.2175  -0.1605  ... -0.539   -0.05377  0.367  ]
1	20871	2392131	Tesla's CEO	Name of father of {}	-1	-1	Tesla's CEO	Name of father of Elon Musk	Name of father of Tesla's CEO	Tesla	Elon Musk	Errol Musk	31	18	[',' 'son' 'of' '\n' '\n' '1' '.' 'Name' 'of' 'father']	False	[ 0.3818  2.201  -1.494  ... -0.3633 -0.4373  3.236 ]
2	62524	2092561	Pierogi's country of origin	The largest city in {}	-1	-1	Pierogi's country of origin	The largest city in Poland	The largest city in Pierogi's country of origin	Pierogi	Poland	Warsaw	10	5	['of' 'the' 'world' 'is' 'Tokyo' ',' 'Japan' '.' '\n' '\n']	False	[-0.3806 -0.0813 -0.598  ... -0.6953 -0.55    0.252 ]
3	43303	2093024	Poutine's country of origin	The language used in {}	-1	-1	Poutine's country of origin	The language used in Canada	The language used in Poutine's country of origin	Poutine	Canada	English	24	8	['is' 'not' 'clear' 'and' 'conc' 'ise' '.' 'It' 'is' 'important']	False	[-1.975  2.023 -6.023 ... -1.994  4.207 -1.807]
4	48730	2092977	Tacos's country of origin	The language used in {}	-1	-1	Tacos's country of origin	The language used in Mexico	The language used in Tacos's country of origin	Tacos	Mexico	Spanish	6	2	['of' 'the' 'text' 'is' 'not' 'specified' '.' '\n' '\n' 'The']	False	[-0.0873   0.1687  -0.4326  ... -0.685   -0.03412  0.2391 ]
5	51157	2092310	Poutine's country of origin	The largest city in {}	-1	-1	Poutine's country of origin	The largest city in Canada	The largest city in Poutine's country of origin	Poutine	Canada	Toronto	4	26	['.' '\n' '\n' 'The' 'largest' 'city' 'in' '{}' 'is' '{}']	False	[-0.2416   0.07245 -0.4165  ... -0.2025  -0.2086   0.077  ]
6	23601	2092218	Pizza's country of origin	The largest city in {}	-1	-1	Pizza's country of origin	The largest city in Italy	The largest city in Pizza's country of origin	Pizza	Italy	Rome	28	5	['is' 'New' 'York' 'City' '.' '\n' 'The' 'capital' 'of' 'the']	False	[-3.16   1.801 -6.383 ... -3.033  3.746 -3.156]
7	41845	2094264	Biryani's country of origin	The capital of {}	-1	-1	Biryani's country of origin	The capital of India	The capital of Biryani's country of origin	Biryani	India	New Delhi	15	13	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' 'France']	False	[ 0.605    0.09674 -1.766   ... -1.126    0.1597   0.2617 ]
8	31165	2093659	Pizza's country of origin	The capital of {}	-1	-1	Pizza's country of origin	The capital of Italy	The capital of Pizza's country of origin	Pizza	Italy	Rome	23	18	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' 'France']	False	[-1.745  3.502 -5.293 ... -1.344  3.91  -2.043]
9	15463	2092367	Chimichurri's country of origin	The largest city in {}	-1	-1	Chimichurri's country of origin	The largest city in Argentina	The largest city in Chimichurri's country of origin	Chimichurri	Argentina	Buenos Aires	15	29	['is' '{}' '\n' '\n' 'The' 'largest' 'city' 'in' '{}' 'is']	False	[ 0.3528  0.0239 -1.893  ... -1.195   0.5093 -0.35  ]
