company_1,ceo_1,company_2,ceo_2,answer
Alphabet,Sundar Pichai,Tesla,Elon Musk,Alphabet
Alphabet,Sundar Pichai,NVIDIA,Jensen Huang,Alphabet
Alphabet,Sundar Pichai,Meta,Mark Zuckerberg,Alphabet
Alphabet,Sundar Pichai,China Construction Bank,Yi Gang,Alphabet
Alphabet,Sundar Pichai,Alibaba,Daniel Zhang,Alphabet
Alphabet,Sundar Pichai,Goldman Sachs,David Solomon,Alphabet
Alphabet,Sundar Pichai,Nasdaq,Adena Friedma,Adena Friedma
Alphabet,Sundar Pichai,Apple,Tim Cook,Alphabet
Alphabet,Sundar Pichai,Cisco Systems,Chuck Robbins,Alphabet
Alphabet,Sundar Pichai,Samsung Electronics,Kim Ki Nam,Alphabet
Alphabet,Sundar Pichai,Microsoft,Satya Nadella,Alphabet
Alphabet,Sundar Pichai,Huawei,Ren Zhengfei,Alphabet
Alphabet,Sundar Pichai,Google,Sundar Pichai,Alphabet
Alphabet,Sundar Pichai,Intel,Bob Swan,Alphabet
Alphabet,Sundar Pichai,The Walt Disney Company,Bob Iger,Alphabet
Alphabet,Sundar Pichai,Nokia,Pekka Lundmark,Alphabet
Alphabet,Sundar Pichai,FC Barcelona,Ferran Reverter,Alphabet
Alphabet,Sundar Pichai,Amazon,Andy Jassy,Alphabet
Alphabet,Sundar Pichai,IBM,Arvind Krishna,Alphabet
Alphabet,Sundar Pichai,Netflix,Ted Sarandos,Alphabet
Alphabet,Sundar Pichai,Uber Technology,Dara Khosrowshahi,Alphabet
Alphabet,Sundar Pichai,McDonald’s,Chris Kempczinski,Alphabet
Alphabet,Sundar Pichai,Hewlett-Packard,Meg Whitman,Alphabet
Alphabet,Sundar Pichai,East Japan Railway Company,Yūji Fukasawa,Alphabet
Alphabet,Sundar Pichai,Nintendo,Shuntaro Furukawa,Alphabet
Alphabet,Sundar Pichai,Twinkl,Jonathan Seaton,Alphabet
Alphabet,Sundar Pichai,Siemens,Joe Kaeser,Alphabet
Alphabet,Sundar Pichai,"Tesla, Inc.",Elon Musk,Alphabet
Alphabet,Sundar Pichai,The Coca-Cola Company,James Quincey,Alphabet
Alphabet,Sundar Pichai,Meta Platforms,Mark Zuckerberg,Alphabet
Alphabet,Sundar Pichai,Sony,Ken'ichiro Yoshida,Alphabet
Alphabet,Sundar Pichai,Koninklijke Philips NV,Roy Jakobs,Alphabet
Alphabet,Sundar Pichai,Dell Inc.,Michael Dell,Alphabet
Alphabet,Sundar Pichai,Volkswagen Group,Oliver Blume,Alphabet
Alphabet,Sundar Pichai,Wikimedia Foundation,Maryana Iskander,Alphabet
Alphabet,Sundar Pichai,Boeing,Dennis Muilenburg,Alphabet
Alphabet,Sundar Pichai,AT&T,John Stankey,Alphabet
Alphabet,Sundar Pichai,International Monetary Fund,Kristalina Georgieva,Alphabet
Alphabet,Sundar Pichai,Deutsche Telekom,Timotheus Höttges,Alphabet
Alphabet,Sundar Pichai,Ford Motor Company,Jim Farley,Alphabet
Alphabet,Sundar Pichai,Walmart,Doug McMillon,Alphabet
Alphabet,Sundar Pichai,Electronic Arts,Andrew Wilson,Alphabet
Alphabet,Sundar Pichai,Renault,Luca de Meo,Alphabet
Alphabet,Sundar Pichai,Delta Air Lines,Ed Bastian,Alphabet
Alphabet,Sundar Pichai,Paris-Charles de Gaulle Airport,Marc Houalla,Alphabet
Alphabet,Sundar Pichai,Deutsche Bank AG,Christian Sewing,Alphabet
Alphabet,Sundar Pichai,TotalEnergies,Patrick Pouyanné,Alphabet
Alphabet,Sundar Pichai,Robert Bosch,Stefan Hartung,Alphabet
Alphabet,Sundar Pichai,Commerzbank AG,Manfred Knof,Alphabet
Alphabet,Sundar Pichai,Orange,Christel Heydemann,Alphabet
Alphabet,Sundar Pichai,Škoda Auto,Klaus Zellmer,Alphabet
Alphabet,Sundar Pichai,Meise Botanic Garden,Steven Dessein,Alphabet
Alphabet,Sundar Pichai,Foxconn,Terry Gou,Alphabet
Alphabet,Sundar Pichai,Mercedes-Benz Group,Ola Källenius,Alphabet
Alphabet,Sundar Pichai,Ubisoft,Yves Guillemot,Alphabet
Alphabet,Sundar Pichai,LVMH,Bernard Arnault,Alphabet
