	sample_id	prompt_source	position_source	prompt_target	position_target	baseline_hop2	baseline_hop3	baseline_multihop3	hop1	hop2	hop3	generations_baseline_hop2	is_correct_baseline_hop2	generations_baseline_hop3	is_correct_baseline_hop3	generations_baseline_multihop3	is_correct_baseline_multihop3
0	0	WinDbg was created by	-1	Who is the current CEO of {}	-1	WinDbg was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created WinDbg	WinDbg	Microsoft	Satya Nadella	a team of experienced developers who have been working in the field of software development for many years . We	False	"? 
 
 a ) Sat ya Nad ella 
 b ) Bill G ates 
 c ) Steve Ball"	True	"? 
 
 I ' m trying to find out who the current CE O of the company is that"	False
1	1	.NET Framework was created by	-1	Who is the current CEO of {}	-1	.NET Framework was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created .NET Framework	.NET Framework	Microsoft	Satya Nadella	Microsoft and is a software development framework that can be used to create Windows desktop applications , web applications ,	True	"? 
 
 a ) Sat ya Nad ella 
 b ) Bill G ates 
 c ) Steve Ball"	True	"? 
 
 As of  2 0 2 1 , the current CE O of Microsoft is Sat ya"	False
2	2	Internet Explorer was created by	-1	Who is the current CEO of {}	-1	Internet Explorer was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Internet Explorer	Internet Explorer	Microsoft	Satya Nadella	the U . S . Department of Def ense in the  1 9 6 0 s as a way	False	"? 
 
 a ) Sat ya Nad ella 
 b ) Bill G ates 
 c ) Steve Ball"	True	"? 
 
 As of  2 0 2 1 , the current CE O of Microsoft is Sat ya"	False
3	3	MS-DOS was created by	-1	Who is the current CEO of {}	-1	MS-DOS was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created MS-DOS	MS-DOS	Microsoft	Satya Nadella	a team of engine ers at Microsoft , led by Bill G ates , in the early  1 9	True	"? 
 
 a ) Sat ya Nad ella 
 b ) Bill G ates 
 c ) Steve Ball"	True	"? 
 
 As of  2 0 2 1 , the CE O of Microsoft is Sat ya Nad"	False
4	4	Office Open XML was created by	-1	Who is the current CEO of {}	-1	Office Open XML was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Office Open XML	Office Open XML	Microsoft	Satya Nadella	Microsoft , it is now an ISO standard , and is supported by a large number of software vend ors	True	"? 
 
 a ) Sat ya Nad ella 
 b ) Bill G ates 
 c ) Steve Ball"	True	"? 
 
 The current CE O of the company that created Office Open XML ( O O XML )"	False
5	5	TypeScript was created by	-1	Who is the current CEO of {}	-1	TypeScript was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created TypeScript	TypeScript	Microsoft	Satya Nadella	the German designer Ber th old Type Found ry in  1 9 0 8 . It was designed by	False	"? 
 
 a ) Sat ya Nad ella 
 b ) Bill G ates 
 c ) Steve Ball"	True	"? 
 
 Type Script is a programming language that was created by Microsoft . The current CE O of"	False
6	6	Bing Maps Platform was created by	-1	Who is the current CEO of {}	-1	Bing Maps Platform was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Bing Maps Platform	Bing Maps Platform	Microsoft	Satya Nadella	Microsoft , it is a mapping and location data platform that provides developers with the tools and services they need	True	"? 
 
 a ) Sat ya Nad ella 
 b ) Bill G ates 
 c ) Steve Ball"	True	"? 
 
 As of  2 0 2 1 , the CE O of the company that created B"	False
7	7	Outlook Express was created by	-1	Who is the current CEO of {}	-1	Outlook Express was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Outlook Express	Outlook Express	Microsoft	Satya Nadella	Microsoft , it is not a Microsoft product . It is a separate program that is made by a different	True	"? 
 
 a ) Sat ya Nad ella 
 b ) Bill G ates 
 c ) Steve Ball"	True	"? 
 
 Out look Express is a dis cont in ued email client developed by Microsoft . The last"	False
8	8	PowerShell was created by	-1	Who is the current CEO of {}	-1	PowerShell was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created PowerShell	PowerShell	Microsoft	Satya Nadella	Microsoft to provide a more powerful command - line interface for Windows systems administr ators , it has since become	True	"? 
 
 a ) Sat ya Nad ella 
 b ) Bill G ates 
 c ) Steve Ball"	True	"? 
 
 As of  2 0 2 1 , the current CE O of the company that created"	False
9	9	Windows 95 was created by	-1	Who is the current CEO of {}	-1	Windows 95 was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Windows 95	Windows 95	Microsoft	Satya Nadella	"Microsoft . 
 
 Comment : I ' m sorry , but that is not the correct answer . "	True	"? 
 
 a ) Sat ya Nad ella 
 b ) Bill G ates 
 c ) Steve Ball"	True	"? 
 
 As of  2 0 2 1 , the current CE O of Microsoft is Sat ya"	False
