	sample_id	prompt_source	position_source	prompt_target	position_target	baseline_hop2	baseline_hop3	baseline_multihop3	hop1	hop2	hop3	generations_baseline_hop2	is_correct_baseline_hop2	generations_baseline_hop3	is_correct_baseline_hop3	generations_baseline_multihop3	is_correct_baseline_multihop3	layer_source	layer_target	generations_patched	is_correct_patched	hidden_rep	object_int	predicted_int	predicted	is_correct_probe
24	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	20	4	['Google' '?' '\n' 'The' 'current' 'CE' 'O' 'of' 'Google' 'is']	False	[ 0.9727 -0.6094  0.1852 ... -1.618  -1.36   -2.24  ]	173	173	Sundar Pichai	True
31	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	11	9	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 0.1063  -0.537    0.1333  ... -0.1763   0.2703   0.00586]	181	181	Tim Cook	True
42	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	8	24	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 0.1389   -0.468     0.002441 ... -0.2153   -0.0864    0.0933  ]	173	173	Sundar Pichai	True
52	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	12	13	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 0.4866 -0.676   0.2292 ... -0.1975  0.3164 -0.1265]	173	173	Sundar Pichai	True
55	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	21	23	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.658  -0.8945  0.601  ... -1.836  -1.667  -2.959 ]	173	173	Sundar Pichai	True
84	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	15	22	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 1.073   0.0485 -0.4902 ...  0.175   0.38   -0.1257]	181	181	Tim Cook	True
90	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	25	17	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.572 -2.865 -0.392 ... -3.672 -1.505 -1.484]	173	173	Sundar Pichai	True
122	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	12	22	[':' '\n' '\n' '1' '.' 'Facebook' '\n' '2' '.' 'Google']	False	[ 0.31    -0.2578   0.1875  ... -0.2695   0.00879 -0.2615 ]	181	181	Tim Cook	True
151	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	26	4	['Google' '?' '\n' 'The' 'current' 'CE' 'O' 'of' 'Google' 'is']	False	[-0.06006 -2.469   -1.362   ... -2.807   -2.01    -1.918  ]	173	173	Sundar Pichai	True
156	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	22	3	['Google' '?' '\n' 'The' 'current' 'CE' 'O' 'of' 'Google' 'is']	False	[ 1.287  -1.117  -0.8843 ... -2.018  -1.998  -2.842 ]	173	173	Sundar Pichai	True
