	sample_id	prompt_source	position_source	prompt_target	position_target	baseline_hop2	baseline_hop3	baseline_multihop3	hop1	hop2	hop3	generations_baseline_hop2	is_correct_baseline_hop2	generations_baseline_hop3	is_correct_baseline_hop3	generations_baseline_multihop3	is_correct_baseline_multihop3
0	0	Who is the current CEO of 	-1	the company that created WinDbg	-1	the company that created WinDbg	Who is the current CEO of Microsoft	Who is the current CEO of the company that created WinDbg	WinDbg	Microsoft	Satya Nadella	". 
 
 It ' s a great tool for debugging and analyz ing Windows systems , and it '"	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 
 Answer : The current CE O of the company that created Win Db g is Steve Te"	False
1	1	Who is the current CEO of 	-1	the company that created .NET Framework	-1	the company that created .NET Framework	Who is the current CEO of Microsoft	Who is the current CEO of the company that created .NET Framework	.NET Framework	Microsoft	Satya Nadella	, is now offering a new service called Azure Function s . This service allows developers to run code on	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 A . Bill G ates 
 B . Steve Ball mer 
 C . Sat ya Nad ella"	True
2	2	Who is the current CEO of 	-1	the company that created Internet Explorer	-1	the company that created Internet Explorer	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Internet Explorer	Internet Explorer	Microsoft	Satya Nadella	, has announced that it will be re le asing a new browser called Spart an . The browser is	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 A : The current CE O of the company that created Internet Explorer is Sat ya Nad ella"	True
3	3	Who is the current CEO of 	-1	the company that created MS-DOS	-1	the company that created MS-DOS	Who is the current CEO of Microsoft	Who is the current CEO of the company that created MS-DOS	MS-DOS	Microsoft	Satya Nadella	", the operating system that power ed the first IBM PC . 
 
 In  1 9 8 1"	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 B ill G ates is the current CE O of Microsoft , the company that created MS -"	False
4	4	Who is the current CEO of 	-1	the company that created Office Open XML	-1	the company that created Office Open XML	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Office Open XML	Office Open XML	Microsoft	Satya Nadella	", the format used by Microsoft Office  2 0 0 7 and later versions . 
 
 The company"	True	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 
 The current CE O of the company that created Office Open XML is Jon Per era ."	False
5	5	Who is the current CEO of 	-1	the company that created TypeScript	-1	the company that created TypeScript	Who is the current CEO of Microsoft	Who is the current CEO of the company that created TypeScript	TypeScript	Microsoft	Satya Nadella	, a programming language that builds on JavaScript and adds features like interfaces and type annotations to make it easier	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 
 I ' m trying to find out who the current CE O of the company that created"	False
6	6	Who is the current CEO of 	-1	the company that created Bing Maps Platform	-1	the company that created Bing Maps Platform	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Bing Maps Platform	Bing Maps Platform	Microsoft	Satya Nadella	", a cloud - based mapping and location data platform . 
 
 In  2 0 1 8 ,"	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 
 A . Sat ya Nad ella 
 B . Steve Ball mer 
 C . Bill G"	True
7	7	Who is the current CEO of 	-1	the company that created Outlook Express	-1	the company that created Outlook Express	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Outlook Express	Outlook Express	Microsoft	Satya Nadella	", Out look , and Windows Live Mail . 
 The company that created Windows Media Player , Windows Media"	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 A . Bill G ates 
 B . Steve Ball mer 
 C . Paul Allen 
 D"	False
8	8	Who is the current CEO of 	-1	the company that created PowerShell	-1	the company that created PowerShell	Who is the current CEO of Microsoft	Who is the current CEO of the company that created PowerShell	PowerShell	Microsoft	Satya Nadella	". 
 
 Power Shell is a powerful autom ation and configuration management tool that is built into Windows ."	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 
 I ' m trying to find out who the current CE O of the company that created"	False
9	9	Who is the current CEO of 	-1	the company that created Windows 95	-1	the company that created Windows 95	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Windows 95	Windows 95	Microsoft	Satya Nadella	, Windows  9 8 , Windows N T , Windows  2 0 0 0 , Windows XP ,	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 A . Bill G ates 
 B . Steve Job s 
 C . Steve Ball mer 
"	False
10	10	Who is the current CEO of 	-1	the company that created Xbox 360	-1	the company that created Xbox 360	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Xbox 360	Xbox 360	Microsoft	Satya Nadella	", X box One , and the X box Live service . 
 
 The company was founded in "	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 A : The current CE O of Microsoft , the company that created X box  3 6"	False
11	11	Who is the current CEO of 	-1	the company that created Zune	-1	the company that created Zune	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Zune	Zune	Microsoft	Satya Nadella	". 
 The Z une concentr ates on being a Port able Media Player . Not a great deal of"	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 A . Bill G ates 
 B . Steve Ball mer 
 C . Steve Job s 
"	False
12	12	Who is the current CEO of 	-1	the company that created Visual Basic Script	-1	the company that created Visual Basic Script	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Visual Basic Script	Visual Basic Script	Microsoft	Satya Nadella	"ing Edition ( VB Script ) and J Script . 
 the company that created the . NET Framework ."	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"ing Edition ( VB Script )? 
 A . Microsoft 
 B . IBM 
 C . Oracle 
 D"	False
13	13	Who is the current CEO of 	-1	the company that created Virtual Hard Disk	-1	the company that created Virtual Hard Disk	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Virtual Hard Disk	Virtual Hard Disk	Microsoft	Satya Nadella	"( V HD ) and Virtual Machine ( VM ) technology . 
 The company was founded in  2"	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"( V HD ) and Virtual Machine ( VM ) technology ? 
 A . Microsoft 
 B . VM"	False
14	14	Who is the current CEO of 	-1	the company that created Robocopy	-1	the company that created Robocopy	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Robocopy	Robocopy	Microsoft	Satya Nadella	". 
 
 This is a command - line tool that can be used to copy files and directories ,"	False	"? 
 Ste ve Ball mer is the current CE O of Microsoft . He took over as CE O"	False	"? 
 
 I ' m trying to find out who the current CE O of the company that created"	False
